Fréq RX [MHz],Fréq TX [MHz],RX CTCSS/DCS,TX CTCSS/DCS,Puissance,Bande,Brouilleur,PTT ID,Saut Fréq,Verr Occupé,Scan,Mode RX,Nom
430.20000,431.80000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU08
430.20000,439.60000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU08H
430.22500,431.82500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU09
430.25000,431.85000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU10
430.25000,431.85000,OFF,118.8,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RUHF foi
430.27500,431.87500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU11
430.30000,431.90000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU12
430.32500,431.92500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU13
430.32500,439.72500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU13H
430.35000,431.95000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU14
430.35000,439.75000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU14H
431.62500,430.02500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU01R
431.72500,430.12500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU05R
432.81200,431.21200,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RU225
432.82500,431.22500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,RU226
433.02500,431.42500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU17
433.05000,431.45000,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU18
433.07500,431.47500,OFF,OFF,Haut,Étroit,0,Arrêt,OFF,OFF,ON,NFM,FRU19
446.00600,446.00600,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 1 ph
446.00600,446.00600,88.5,88.5,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 11
446.01900,446.01900,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 2 ph
446.01900,446.01900,88.5,88.5,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 21
446.03100,446.03100,OFF,OFF,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 3 su
446.03100,446.03100,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 31
446.03100,446.03100,88.5,88.5,Bas,Large,0,Arrêt,OFF,OFF,ON,FM,PR 333
446.04400,446.04400,OFF,OFF,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 4 ph
446.04400,446.04400,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 41
446.05600,446.05600,OFF,OFF,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 5 ra
446.05600,446.05600,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 51
446.06900,446.06900,OFF,OFF,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 6 re
446.06900,446.06900,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 61
446.08100,446.08100,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PMR 77
446.08100,446.08100,OFF,OFF,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 7 ur
446.08100,446.08100,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 71
446.09400,446.09400,OFF,OFF,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 8 ap
446.09400,446.09400,88.5,88.5,Bas,Étroit,0,Arrêt,OFF,OFF,ON,NFM,PR 81
