Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
64,NOAA2,162.40000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
65,NOAA4,162.42500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
66,NOAA5,162.45000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
67,NOAA3,162.47500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
68,NOAA6,162.50000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
69,NOAA7,162.52500,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
70,NOAA1,162.55000,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.5,S,5.0W,,,,,
71,FRU01,430.02500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
72,FRU02,430.05000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
73,UHF Neul,430.05000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
74,FRU03,430.07500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
75,FRU04,430.10000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
76,FRU05,430.12500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
77,FRU06,430.15000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
78,FRU06H,430.15000,+,9.40000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
79,FRU07,430.17500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
80,FRU08,430.20000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
81,FRU08H,430.20000,+,9.40000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
82,FRU09,430.22500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
83,FRU10,430.25000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
84,RUHF foi,430.25000,+,1.60000,Tone,118.8,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
85,FRU11,430.27500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
86,FRU12,430.30000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
87,FRU13,430.32500,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
88,FRU13H,430.32500,+,9.40000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
89,FRU14,430.35000,+,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
90,FRU14H,430.35000,+,9.40000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
91,FRU01R,431.62500,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
92,FRU05R,431.72500,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
93,RU225,432.81200,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
94,RU226,432.82500,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
95,FRU17,433.02500,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
96,FRU18,433.05000,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
97,FRU19,433.07500,-,1.60000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,5.0W,,,,,
98,PR 1 ph,446.00600,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
99,PR 1.1,446.00600,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
100,PR 2 ph,446.01900,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
101,PR 2.1,446.01900,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
102,PR 3 su,446.03100,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
103,PR 3.1,446.03100,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
104,PR 333,446.03100,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.0,,2.0W,,,,,
105,PR 4 ph,446.04400,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
106,PR 4.1,446.04400,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
107,PR 5 ra,446.05600,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
108,PR 5.1,446.05600,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
109,PR 6 re,446.06900,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
110,PR 6.1,446.06900,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
111,PMR 7.7,446.08100,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
112,PR 7 ur,446.08100,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
113,PR 7.1,446.08100,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
114,PR 8 ap,446.09400,,0.00000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
115,PR 8.1,446.09400,,0.00000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.0,,2.0W,,,,,
